tractID,ARSON,ASSAULT,BATTERY,BURGLARY,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION,total
17031220602,0,26,71,49,0,50,9,18,0,0,0,0,0,1,43,15,0,3,0,26,0,0,2,26,2,0,143,1,485
17031836800,1,50,176,37,2,68,18,30,1,1,2,1,2,0,43,94,0,5,0,29,0,0,7,59,1,0,151,9,787
17031340500,0,4,26,3,0,46,4,172,0,0,1,0,0,0,19,23,0,1,0,7,0,1,1,23,0,0,59,0,390
17031710600,1,26,126,54,2,44,6,17,0,1,6,0,0,2,17,78,0,1,0,25,1,0,1,15,1,0,63,6,493
17031063100,0,4,21,16,1,18,5,20,0,0,0,0,0,0,4,6,0,0,0,7,1,0,4,9,2,0,87,0,205
17031010503,0,10,20,15,3,23,6,7,0,0,0,0,0,0,6,6,1,2,0,5,0,0,0,9,2,0,59,0,174
17031671400,3,33,109,51,4,104,16,13,2,3,2,0,0,0,25,62,0,0,0,32,2,0,7,15,1,0,121,21,626
17031010501,1,14,54,13,1,29,13,16,0,0,1,0,0,0,11,35,0,1,0,29,0,0,4,20,1,0,41,1,285
17031750100,2,44,133,66,4,85,19,19,1,2,4,0,1,0,25,74,0,2,0,32,0,0,3,38,2,0,113,11,680
17031081300,0,11,31,5,2,10,61,44,0,0,0,0,1,1,1,14,0,1,0,12,14,0,5,10,0,0,460,0,683
17031834200,1,73,287,132,6,105,32,30,2,0,1,0,1,0,72,124,0,10,0,66,1,0,16,67,3,1,299,14,1343
17031090300,0,3,7,0,0,7,4,3,0,0,0,0,0,3,0,3,0,1,0,4,0,0,0,0,0,0,11,0,46
17031560100,1,7,14,11,1,9,3,2,0,0,1,0,0,0,9,7,0,1,0,6,4,0,0,3,2,0,17,0,98
17031071300,0,1,16,22,0,26,2,12,0,0,0,0,0,0,12,2,0,0,0,6,0,0,1,4,1,0,95,0,200
17031100300,0,8,40,20,0,37,11,13,0,0,0,0,0,0,1,19,0,1,0,17,0,0,2,0,3,0,66,0,238
17031100700,1,9,14,21,0,29,3,5,0,0,1,0,0,0,2,0,0,0,0,13,0,0,0,1,1,0,27,0,127
17031600900,1,35,70,13,0,66,15,7,0,1,3,2,0,3,11,25,0,5,0,32,0,0,6,8,1,0,42,3,349
17031842000,0,8,22,8,0,14,6,7,0,0,0,0,0,0,13,21,0,0,0,8,0,0,1,31,0,0,103,2,244
17031660301,2,21,71,27,1,50,11,8,0,1,3,0,0,0,12,75,0,3,0,12,5,0,7,15,2,0,56,6,388
17031660302,0,20,90,46,1,54,14,4,1,4,1,0,0,2,55,65,0,4,0,39,8,0,15,37,1,0,81,7,549
17031230100,0,11,34,14,0,17,13,1,0,0,1,0,0,0,9,11,0,2,0,15,0,0,0,4,0,0,28,2,162
17031750600,0,51,154,80,2,92,9,8,1,2,6,0,1,0,46,88,0,2,0,41,0,0,3,24,4,0,112,5,731
17031243100,0,6,16,22,2,39,7,5,0,0,0,0,0,1,15,5,0,0,0,7,0,0,1,7,1,0,46,1,181
17031831500,1,18,56,42,4,40,8,24,0,0,0,0,0,1,35,17,0,7,0,18,0,0,1,18,0,1,249,4,544
17031430400,0,38,170,71,1,75,13,23,0,0,0,0,0,0,30,70,0,6,0,57,0,0,6,60,0,0,167,7,794
17031160502,0,12,48,25,0,31,5,11,0,3,0,0,0,0,20,31,0,0,0,14,0,0,3,9,0,0,33,2,247
17031160501,1,12,52,22,1,55,0,13,0,0,0,0,0,1,21,35,0,1,0,16,0,0,5,11,3,0,40,5,294
17031210601,0,13,30,21,1,22,3,8,0,0,0,0,0,1,40,12,0,0,0,15,0,0,0,8,0,0,41,0,215
17031421200,0,30,98,18,2,40,25,4,0,1,3,0,3,0,24,63,1,18,0,32,0,0,3,27,1,0,55,13,461
17031660900,0,90,250,116,7,127,9,17,2,1,1,1,1,1,50,231,0,4,0,48,1,0,18,58,7,0,142,12,1194
17031250200,3,30,72,49,3,39,10,7,3,1,4,0,1,1,35,72,0,1,0,35,22,0,4,19,0,0,79,2,492
17031251300,1,70,228,65,9,91,23,10,11,3,6,0,0,1,33,198,0,6,0,64,1,0,4,52,0,0,129,16,1021
17031081600,0,19,77,7,1,31,17,66,0,0,4,0,0,3,10,18,0,0,0,17,15,0,2,23,0,0,292,0,602
17031670900,0,30,71,35,2,42,5,5,1,0,1,0,2,0,18,38,0,3,0,18,0,0,4,11,1,0,56,12,355
17031010600,0,29,97,32,1,64,17,12,0,0,2,0,0,1,18,31,1,2,0,38,0,0,6,33,2,2,106,2,496
17031680600,1,33,125,41,7,49,13,5,12,0,1,0,0,0,11,65,0,5,0,15,7,0,7,11,1,0,51,10,470
17031271400,3,25,71,28,3,33,4,7,2,0,2,0,0,1,29,67,0,2,0,25,3,0,2,13,0,0,51,3,374
17031671300,3,66,204,47,2,92,17,6,3,3,3,0,2,0,36,125,0,2,0,42,3,0,10,22,2,0,93,20,803
17031840200,0,21,43,28,0,48,8,5,0,0,0,0,0,0,22,21,0,0,0,15,0,0,5,13,3,0,49,0,281
17031560200,0,18,49,19,1,32,1,5,2,0,1,0,0,0,6,38,0,1,0,12,3,0,1,4,1,0,25,0,219
17031834700,2,75,188,70,4,93,71,8,2,2,0,2,0,0,23,98,0,8,0,39,10,0,8,40,1,0,137,16,897
17031100400,0,7,10,7,0,14,1,11,0,0,0,0,0,0,1,4,0,0,0,13,0,0,1,2,0,0,23,0,94
17031210100,0,19,43,39,1,42,7,10,0,0,0,0,0,4,54,27,0,4,0,24,0,0,3,3,0,0,99,3,382
17031710900,2,39,114,46,1,70,14,15,1,1,1,0,1,0,29,108,0,8,0,15,3,0,8,26,2,0,83,10,597
